code,description,section,division
1622,Manufacture of builders carpentry and joinery,C,16
1623,Manufacture of wooden containers,C,16
1629,Manufacture of other products of wood manufacture of articles of cork straw and plaiting materials,C,16
1701,Manufacture of pulp paper and paperboard,C,17
1702,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,C,17
1709,Manufacture of other articles of paper and paperboard,C,17
1811,Printing,C,18
1812,Service activities related to printing,C,18
1820,Reproduction of recorded media,C,18
1910,Manufacture of coke oven products,C,19
1920,Manufacture of refined petroleum products,C,19
2011,Manufacture of basic chemicals,C,20
2012,Manufacture of fertilizers and nitrogen compounds,C,20
2013,Manufacture of plastics and synthetic rubber in primary forms,C,20
2021,Manufacture of pesticides and other agrochemical products,C,20
2022,Manufacture of paints varnishes and similar coatings printing ink and mastics,C,20
2023,Manufacture of soap and detergents cleaning and polishing preparations perfumes and toilet preparations,C,20
2029,Manufacture of other chemical products nec,C,20
2030,Manufacture of man-made fibres,C,20
2100,Manufacture of pharmaceuticals medicinal chemical and botanical products,C,21
2211,Manufacture of rubber tyres and tubes retreading and rebuilding of rubber tyres,C,22
2219,Manufacture of other rubber products,C,22
2221,Manufacture of plastic plates sheets tubes and profiles,C,22
2222,Manufacture of plastic packing goods,C,22
2223,Manufacture of builders ware of plastic,C,22
2229,Manufacture of other plastic products,C,22
2310,Manufacture of glass and glass products,C,23
2391,Manufacture of refractory products,C,23
2392,Manufacture of clay building materials,C,23
2393,Manufacture of other porcelain and ceramic products,C,23
2394,Manufacture of cement lime and plaster,C,23
2395,Manufacture of articles of concrete cement and plaster,C,23
2396,Cutting shaping and finishing of stone,C,23
2399,Manufacture of other non-metallic mineral products nec,C,23
2410,Manufacture of basic iron and steel,C,24
2420,Manufacture of basic precious and other non-ferrous metals,C,24
2431,Casting of iron and steel,C,24
2432,Casting of non-ferrous metals,C,24
2511,Manufacture of structural metal products,C,25
2512,Manufacture of tanks reservoirs and containers of metal,C,25
2513,Manufacture of steam generators,C,25
2520,Manufacture of weapons and ammunition,C,25
2591,Forging pressing stamping and roll-forming of metal powder metallurgy,C,25
2592,Treatment and coating of metals machining,C,25
2593,Manufacture of cutlery hand tools and general hardware,C,25
2599,Manufacture of other fabricated metal products nec,C,25
2610,Manufacture of electronic components and boards,C,26
2620,Manufacture of computers and peripheral equipment,C,26
2630,Manufacture of communication equipment,C,26
2640,Manufacture of consumer electronics,C,26
2651,Manufacture of instruments and appliances for measuring testing and navigation,C,26
2652,Manufacture of watches and clocks,C,26
2660,Manufacture of irradiation electromedical and electrotherapeutic equipment,C,26
2670,Manufacture of optical instruments and photographic equipment,C,26
2680,Manufacture of magnetic and optical media,C,26
2710,Manufacture of electric motors generators transformers and electricity distribution and control apparatus,C,27
2720,Manufacture of batteries and accumulators,C,27
2731,Manufacture of fibre optic cables,C,27
2732,Manufacture of other electronic and electric wires and cables,C,27
2733,Manufacture of wiring devices,C,27
2740,Manufacture of electric lighting equipment,C,27
2750,Manufacture of domestic appliances,C,27
2790,Manufacture of other electrical equipment,C,27
2811,Manufacture of engines and turbines except aircraft vehicle and cycle engines,C,28
2812,Manufacture of fluid power equipment,C,28
2813,Manufacture of other pumps compressors taps and valves,C,28
2814,Manufacture of bearings gears gearing and driving elements,C,28
2815,Manufacture of ovens furnaces and furnace burners,C,28
2816,Manufacture of lifting and handling equipment,C,28
2817,Manufacture of office machinery and equipment except computers and peripheral equipment,C,28
2818,Manufacture of power-driven hand tools,C,28
2819,Manufacture of other general-purpose machinery,C,28
2821,Manufacture of agricultural and forestry machinery,C,28
2822,Manufacture of metal-forming machinery and machine tools,C,28
2823,Manufacture of machinery for metallurgy,C,28
2824,Manufacture of machinery for mining quarrying and construction,C,28
2825,Manufacture of machinery for food beverage and tobacco processing,C,28
2826,Manufacture of machinery for textile apparel and leather production,C,28
2829,Manufacture of other special-purpose machinery,C,28
2910,Manufacture of motor vehicles,C,29
2920,Manufacture of bodies coaches for motor vehicles manufacture of trailers and semi-trailers,C,29
2930,Manufacture of parts and accessories for motor vehicles,C,29
3011,Building of ships and floating structures,C,30
3012,Building of pleasure and sporting boats,C,30
3020,Manufacture of railway locomotives and rolling stock,C,30
3030,Manufacture of air and spacecraft and related machinery,C,30
3040,Manufacture of military fighting vehicles,C,30
3091,Manufacture of motorcycles,C,30
3092,Manufacture of bicycles and invalid carriages,C,30
3099,Manufacture of other transport equipment nec,C,30
3100,Manufacture of furniture,C,31
3211,Manufacture of jewellery and related articles,C,32
3212,Manufacture of imitation jewellery and related articles,C,32
3220,Manufacture of musical instruments,C,32
3230,Manufacture of sports goods,C,32
3240,Manufacture of games and toys,C,32
3250,Manufacture of medical and dental instruments and supplies,C,32
3290,Other manufacturing nec,C,32
3311,Repair of fabricated metal products,C,33
3312,Repair of machinery,C,33
3313,Repair of electronic and optical equipment,C,33
3314,Repair of electrical equipment,C,33
3315,Repair of transport equipment except motor vehicles,C,33
3319,Repair of other equipment,C,33
3320,Installation of industrial machinery and equipment,C,33
3510,Electric power generation transmission and distribution,D,35
3520,Manufacture of gas distribution of gaseous fuels through mains,D,35
3530,Steam and air conditioning supply,D,35
3600,Water collection treatment and supply,E,36
3700,Sewerage,E,37
3811,Collection of non-hazardous waste,E,38
3812,Collection of hazardous waste,E,38
3821,Treatment and disposal of non-hazardous waste,E,38
3822,Treatment and disposal of hazardous waste,E,38
3830,Materials recovery,E,38
3900,Remediation activities and other waste management services,E,39
4100,Construction of buildings,F,41
4210,Construction of roads and railways,F,42
4220,Construction of utility projects,F,42
4290,Construction of other civil engineering projects,F,42
4311,Demolition,F,43
4312,Site preparation,F,43
4321,Electrical installation,F,43
4322,Plumbing heat and air-conditioning installation,F,43
4329,Other construction installation,F,43
4330,Building completion and finishing,F,43
4390,Other specialised construction activities,F,43
4510,Sale of motor vehicles,G,45
4520,Maintenance and repair of motor vehicles,G,45
4530,Sale of motor vehicle parts and accessories,G,45
4540,Sale maintenance and repair of motorcycles and related parts and accessories,G,45
4610,Wholesale on a fee or contract basis,G,46
4620,Wholesale of agricultural raw materials and live animals,G,46
4630,Wholesale of food beverages and tobacco,G,46
4640,Wholesale of household goods,G,46
4650,Wholesale of machinery equipment and supplies,G,46
4660,Wholesale of other machinery and equipment,G,46
4690,Other non-specialised wholesale trade,G,46
4711,Retail sale in non-specialised stores with food beverages or tobacco predominating,G,47
4719,Other retail sale in non-specialised stores,G,47
4721,Retail sale of food in specialised stores,G,47
4722,Retail sale of beverages in specialised stores,G,47
4723,Retail sale of tobacco products in specialised stores,G,47
4730,Retail sale of automotive fuel in specialised stores,G,47
4741,Retail sale of computers peripheral units software and telecommunications equipment,G,47
4742,Retail sale of audio and video equipment in specialised stores,G,47
4751,Retail sale of textiles in specialised stores,G,47
4752,Retail sale of hardware paints and glass in specialised stores,G,47
4753,Retail sale of carpets rugs wall and floor coverings in specialised stores,G,47
4754,Retail sale of electrical household appliances in specialised stores,G,47
4759,Retail sale of furniture lighting equipment and other household articles,G,47
4761,Retail sale of books newspapers and stationery in specialised stores,G,47
4762,Retail sale of music and video recordings in specialised stores,G,47
4763,Retail sale of sporting equipment in specialised stores,G,47
4764,Retail sale of games and toys in specialised stores,G,47
4771,Retail sale of clothing footwear and leather articles in specialised stores,G,47
4772,Retail sale of pharmaceutical and medical goods cosmetic and toilet articles,G,47
4781,Retail sale via stalls and markets of food beverages and tobacco products,G,47
4782,Retail sale via stalls and markets of textiles clothing and footwear,G,47
4789,Retail sale via stalls and markets of other goods,G,47
4791,Retail sale via mail order houses or via Internet,G,47
4799,Other retail sale not in stores stalls or markets,G,47
4911,Passenger rail transport interurban,H,49
4912,Freight rail transport,H,49
4921,Urban and suburban passenger land transport,H,49
4922,Other passenger land transport,H,49
4923,Freight transport by road,H,49
4930,Transport via pipeline,H,49
5011,Sea and coastal passenger water transport,H,50
5012,Sea and coastal freight water transport,H,50
5021,Inland passenger water transport,H,50
5022,Inland freight water transport,H,50
5110,Passenger air transport,H,51
5120,Freight air transport,H,51
5210,Warehousing and storage,H,52
5221,Service activities incidental to land transportation,H,52
5222,Service activities incidental to water transportation,H,52
5223,Service activities incidental to air transportation,H,52
5224,Cargo handling,H,52
5229,Other transportation support activities,H,52
5310,Postal activities,H,53
5320,Courier activities,H,53
5510,Short-term accommodation activities,I,55
5590,Other accommodation,I,55
5610,Restaurant and mobile food service activities,I,56
5621,Event catering activities,I,56
5629,Other food service activities,I,56
5630,Beverage serving activities,I,56
5811,Book publishing,J,58
5812,Publishing of directories and mailing lists,J,58
5813,Publishing of newspapers,J,58
5819,Other publishing activities,J,58
5820,Software publishing,J,58
5911,Motion picture video and television programme production activities,J,59
5912,Motion picture video and television programme post-production activities,J,59
5913,Motion picture video and television programme distribution activities,J,59
5914,Motion picture projection activities,J,59
5920,Sound recording and music publishing activities,J,59
6010,Radio broadcasting,J,60
6020,Television programming and broadcasting activities,J,60
6110,Wired telecommunications activities,J,61
6120,Wireless telecommunications activities,J,61
6130,Satellite telecommunications activities,J,61
6190,Other telecommunications activities,J,61
6201,Computer programming activities,J,62
6202,Computer consultancy and computer facilities management activities,J,62
6209,Other information technology and computer service activities,J,62
6311,Data processing hosting and related activities,J,63
6312,Web portals,J,63
6391,News agency activities,J,63
6399,Other information service activities nec,J,63
6411,Central banking,K,64
6419,Other monetary intermediation,K,64
6420,Activities of holding companies,K,64
6430,Trusts funds and similar financial entities,K,64
6491,Financial leasing,K,64
6492,Other credit granting,K,64
6499,Other financial service activities nec,K,64
6511,Life insurance,K,65
6512,Non-life insurance,K,65
6520,Reinsurance,K,65
6530,Pension funding,K,65
6611,Administration of financial markets,K,66
6612,Security and commodity contracts brokerage,K,66
6619,Other activities auxiliary to financial services,K,66
6621,Risk and damage evaluation,K,66
6622,Activities of insurance agents and brokers,K,66
6629,Other activities auxiliary to insurance and pension funding,K,66
6630,Fund management activities,K,66
6810,Real estate activities with own or leased property,L,68
6820,Real estate activities on a fee or contract basis,L,68
6910,Legal activities,M,69
6920,Accounting bookkeeping and auditing activities tax consultancy,M,69
7010,Activities of head offices,M,70
7020,Management consultancy activities,M,70
7111,Architectural activities,M,71
7112,Engineering activities and related technical consultancy,M,71
7120,Technical testing and analysis,M,71
7210,Research and experimental development on natural sciences and engineering,M,72
7220,Research and experimental development on social sciences and humanities,M,72
7310,Advertising,M,73
7320,Market research and public opinion polling,M,73
7410,Specialised design activities,M,74
7420,Photographic activities,M,74
7430,Translation and interpretation activities,M,74
7490,Other professional scientific and technical activities nec,M,74
7500,Veterinary activities,M,75
7710,Renting and leasing of motor vehicles,N,77
7720,Renting and leasing of personal and household goods,N,77
7730,Renting and leasing of other machinery equipment and tangible goods,N,77
7740,Leasing of intellectual property and similar products,N,77
7810,Activities of employment placement agencies,N,78
7820,Temporary employment agency activities,N,78
7830,Other human resources provision,N,78
7911,Travel agency activities,N,79
7912,Tour operator activities,N,79
7990,Other reservation service and related activities,N,79
8010,Private security activities,N,80
8020,Security systems service activities,N,80
8030,Investigation activities,N,80
8110,Combined facilities support activities,N,81
8121,General cleaning of buildings,N,81
8129,Other building and industrial cleaning activities,N,81
8130,Landscape care and maintenance service activities,N,81
8211,Combined office administrative service activities,N,82
8219,Photocopying document preparation and other specialised office support activities,N,82
8220,Activities of call centres,N,82
8230,Organisation of conventions and trade shows,N,82
8291,Activities of collection agencies and credit bureaus,N,82
8292,Packaging activities,N,82
8299,Other business support service activities nec,N,82
8411,General public administration activities,O,84
8412,Regulation of the activities of providing health care education cultural and other social services,O,84
8413,Regulation of and contribution to more efficient operation of businesses,O,84
8421,Foreign affairs,O,84
8422,Defence activities,O,84
8423,Justice and judicial activities,O,84
8424,Public order and safety activities,O,84
8425,Fire service activities,O,84
8430,Compulsory social security activities,O,84
8510,Pre-primary and primary education,P,85
8521,General secondary education,P,85
8522,Technical and vocational secondary education,P,85
8530,Higher education,P,85
8541,Sports and recreation education,P,85
8542,Cultural education,P,85
8549,Other education nec,P,85
8550,Educational support services,P,85
8610,Hospital activities,Q,86
8620,Medical and dental practice activities,Q,86
8690,Other human health activities,Q,86
8710,Residential nursing care activities,Q,87
8720,Residential care activities for mental retardation mental health and substance abuse,Q,87
8730,Residential care activities for the elderly and disabled,Q,87
8790,Other residential care activities,Q,87
8810,Social work activities without accommodation for the elderly and disabled,Q,88
8891,Child day-care activities,Q,88
8899,Other social work activities without accommodation nec,Q,88
9000,Creative arts and entertainment activities,R,90
9101,Library and archive activities,R,91
9102,Museums activities and operation of historical sites and buildings,R,91
9103,Botanical and zoological gardens and nature reserves activities,R,91
9200,Gambling and betting activities,R,92
9311,Operation of sports facilities,R,93
9312,Activities of sports clubs,R,93
9319,Other sports activities,R,93
9321,Activities of amusement parks and theme parks,R,93
9329,Other amusement and recreation activities nec,R,93
9411,Activities of business employers and professional membership organisations,S,94
9412,Activities of professional membership organisations,S,94
9420,Activities of trade unions,S,94
9491,Activities of religious organisations,S,94
9492,Activities of political organisations,S,94
9499,Activities of other membership organisations nec,S,94
9511,Repair of computers and peripheral equipment,S,95
9512,Repair of communication equipment,S,95
9521,Repair of consumer electronics,S,95
9522,Repair of household appliances and home and garden equipment,S,95
9523,Repair of footwear and leather goods,S,95
9524,Repair of furniture and home furnishings,S,95
9525,Repair of watches clocks and jewellery,S,95
9529,Repair of other personal and household goods,S,95
9601,Washing and dry-cleaning of textile and fur products,S,96
9602,Hairdressing and other beauty treatment,S,96
9603,Funeral and related activities,S,96
9604,Physical well-being activities,S,96
9609,Other personal service activities nec,S,96
9700,Activities of households as employers of domestic personnel,T,97
9810,Undifferentiated goods-producing activities of private households for own use,T,98
9820,Undifferentiated service-producing activities of private households for own use,T,98
9900,Activities of extraterritorial organisations and bodies,U,99
